match_played,team_id,team_name,season,team_total_points_rank,team_total_points,team_all_outs_conceded,team_all_outs_conceded_rank,team_all_outs_inflicted,team_all_outs_inflicted_rank,team_average_raid_points,team_average_raid_points_rank,team_average_tackle_points,team_average_tackle_points_rank,team_avg_points_scored,team_avg_points_scored_rank,team_dod_raid_points,team_dod_raid_points_rank,team_raid_points,team_raid_points_rank,team_successful_raids,team_successful_raids_rank,team_successful_tackles,team_successful_tackles_rank,team_super_raid,team_super_raid_rank,team_super_tackles,team_super_tackles_rank,team_tackle_points,team_tackle_points_rank,team_total_points_conceded,team_total_points_conceded_rank
16,3,Jaipur Pink Panthers,1,1,579,15,6,29,1,21.5,3,10.63,1,32.12,1,50,1,344,2,270,2,158,1,9,5,12,4,170,1,458,8
16,5,U Mumba,1,2,550,19,4,21,3,21.69,2,9.81,3,31.5,2,40,4,347,1,270,2,145,3,12,2,12,4,157,3,499,3
16,6,Patna Pirates,1,3,504,17,5,18,5,19.75,6,8.88,5,28.62,6,42,3,316,4,253,4,124,4,13,1,18,1,142,4,487,4
16,1,Bengaluru Bulls,1,4,498,15,6,20,4,18.19,8,10.19,2,28.37,7,40,4,291,5,225,6,153,2,7,7,10,6,163,2,479,5
14,8,Telugu Titans,1,5,497,14,8,25,2,24,1,7.43,8,31.42,3,31,6,336,3,272,1,96,7,8,6,8,8,104,8,474,6
14,2,Dabang Delhi K.C.,1,6,456,23,3,18,5,20.36,4,9.57,4,29.92,4,31,6,285,6,246,5,124,4,5,8,10,6,134,5,471,7
14,4,Bengal Warriors,1,7,430,25,2,11,8,20.21,5,8.71,6,28.92,5,30,8,283,7,213,7,106,6,11,3,16,2,122,6,515,2
14,7,Puneri Paltan,1,8,405,26,1,12,7,19.21,7,7.64,7,26.85,8,48,2,269,8,204,8,93,8,11,3,14,3,107,7,536,1
16,8,Telugu Titans,2,1,586,15,6,26,1,21.5,1,10.75,2,32.25,1,66,3,344,1,265,1,158,2,16,1,16,3,172,2,493,1
16,1,Bengaluru Bulls,2,2,508,16,5,25,2,15.75,4,10.25,3,26,4,80,2,252,2,194,2,158,2,10,3,7,8,164,3,457,5
16,5,U Mumba,2,3,489,14,7,20,3,14.81,6,12.25,1,27.06,2,81,1,237,3,187,3,180,1,7,6,16,3,196,1,426,7
16,6,Patna Pirates,2,4,444,21,1,13,5,14.25,7,10.25,3,24.5,6,60,5,228,5,182,5,152,4,4,8,13,6,164,3,489,2
14,3,Jaipur Pink Panthers,2,5,442,12,8,17,4,16.57,2,10.14,5,26.71,3,47,8,232,4,183,4,124,5,5,7,18,2,142,5,399,8
14,2,Dabang Delhi K.C.,2,6,396,20,3,13,5,15.5,5,9.71,6,25.21,5,61,4,217,7,159,7,122,6,14,2,14,5,136,6,464,4
14,7,Puneri Paltan,2,7,391,21,1,12,7,15.93,3,8.14,8,24.07,7,56,7,223,6,170,6,104,8,8,5,11,7,114,8,465,3
14,4,Bengal Warriors,2,8,367,17,4,10,8,13.14,8,9.71,6,22.85,8,59,6,184,8,134,8,116,7,9,4,21,1,136,6,430,6
16,6,Patna Pirates,3,1,594,13,6,30,1,20.25,1,11.38,2,31.62,1,74,2,324,1,241,1,175,1,16,1,7,6,182,2,468,2
16,7,Puneri Paltan,3,2,510,13,6,25,3,15.69,5,11.69,1,27.37,2,87,1,251,4,203,5,174,2,9,2,13,3,187,1,433,6
16,5,U Mumba,3,3,502,12,8,27,2,15.81,4,10.56,3,26.37,4,59,5,253,3,206,3,163,3,7,5,6,8,169,3,397,8
16,4,Bengal Warriors,3,4,460,18,4,17,4,15.63,6,9.38,4,25,5,70,3,250,5,213,2,137,4,4,7,13,3,150,4,449,4
14,8,Telugu Titans,3,5,427,17,5,13,5,18.14,2,8.29,6,26.42,3,44,8,254,2,206,3,101,5,3,8,15,2,116,6,437,5
14,2,Dabang Delhi K.C.,3,6,384,28,1,9,8,16.64,3,7.93,7,24.57,6,54,7,233,6,171,6,98,7,5,6,13,3,111,7,525,1
14,3,Jaipur Pink Panthers,3,7,364,22,2,11,7,13.79,8,8.36,5,22.14,7,59,5,193,8,149,8,101,5,8,4,16,1,117,5,427,7
14,1,Bengaluru Bulls,3,8,362,21,3,12,6,14.93,7,7.14,8,22.07,8,69,4,209,7,158,7,94,8,9,2,7,6,100,8,467,3
16,7,Puneri Paltan,4,1,515,17,3,21,2,18.13,1,9.13,4,27.25,1,77,3,290,1,230,1,140,3,10,2,7,7,146,3,491,1
16,8,Telugu Titans,4,2,506,13,7,22,1,16.69,3,10.13,2,26.81,3,76,4,267,3,206,2,157,1,7,3,5,8,162,2,454,3
16,6,Patna Pirates,4,3,492,12,8,19,3,16.5,4,10.69,1,27.18,2,73,5,264,4,206,2,145,2,7,3,27,1,171,1,466,2
16,3,Jaipur Pink Panthers,4,4,475,14,6,17,4,16.88,2,8.44,8,25.31,5,80,2,270,2,203,4,119,4,6,5,17,3,135,4,450,4
14,2,Dabang Delhi K.C.,4,5,419,16,4,15,5,16.14,6,9.57,3,25.71,4,84,1,226,6,162,7,116,6,11,1,20,2,134,5,412,8
14,5,U Mumba,4,6,399,21,1,15,5,16.21,5,8.64,7,24.85,6,42,8,227,5,188,5,110,7,4,6,11,5,121,8,418,6
14,4,Bengal Warriors,4,7,378,15,5,11,7,14.43,7,8.93,5,23.35,7,62,6,202,7,167,6,117,5,4,6,8,6,125,6,438,5
14,1,Bengaluru Bulls,4,8,360,21,1,9,8,14.36,8,8.86,6,23.21,8,59,7,201,8,157,8,109,8,4,6,15,4,124,7,415,7
26,6,Patna Pirates,8,1,1050,29,5,55,1,24.5,1,9.69,4,34.19,1,95,4,637,1,487,1,226,3,26,1,27,1,252,3,921,1
24,31,Gujarat Fortunegiants,8,2,775,17,12,36,2,16.88,9,10.58,2,27.45,6,98,3,405,6,335,6,242,2,11,6,12,9,254,2,641,12
24,7,Puneri Paltan,8,3,766,23,10,32,3,15.79,11,11.29,1,27.08,8,119,1,379,10,304,10,252,1,12,4,21,3,271,1,683,10
23,30,U.P. Yoddha,8,4,762,32,3,23,8,20.04,2,8.74,9,28.78,2,83,10,461,2,358,3,183,8,23,2,19,5,201,7,763,2
24,4,Bengal Warriors,8,5,749,29,5,27,5,18.96,4,8.04,10,27,9,87,9,455,3,379,2,181,9,11,6,12,9,193,10,757,3
23,28,Haryana Steelers,8,6,727,23,10,27,5,17.57,8,9.87,3,27.43,7,105,2,404,7,327,8,206,4,12,4,21,3,227,4,726,7
22,5,U Mumba,8,7,707,36,1,21,10,19.05,3,9.18,6,28.22,3,78,12,419,4,322,9,176,10,10,8,26,2,202,6,757,3
22,8,Telugu Titans,8,8,696,26,8,25,7,18.18,6,9.41,5,27.59,5,88,8,400,8,332,7,191,5,10,8,17,6,207,5,698,9
22,1,Bengaluru Bulls,8,9,689,25,9,28,4,17.86,7,9.09,8,26.95,10,93,6,393,9,336,5,185,6,5,11,17,6,200,9,679,11
22,29,Tamil Thalaivas,8,10,681,31,4,19,11,18.64,5,9.14,7,27.77,4,89,7,410,5,351,4,184,7,5,11,17,6,201,7,752,5
22,3,Jaipur Pink Panthers,8,11,631,27,7,22,9,16.05,10,7.77,11,23.81,11,83,10,353,11,288,11,162,11,13,3,10,12,171,11,723,8
22,2,Dabang Delhi K.C.,8,12,598,35,2,18,12,15.64,12,7.68,12,23.31,12,94,5,344,12,283,12,159,12,6,10,12,9,169,12,731,6
24,1,Bengaluru Bulls,26,1,887,24,9,37,2,22.79,1,9.58,7,32.37,2,73,7,547,1,431,1,219,4,20,1,12,12,230,5,766,7
25,31,Gujarat Fortunegiants,26,2,876,20,11,36,3,19.2,6,10.96,2,30.16,4,74,6,480,4,392,4,258,2,10,8,18,6,274,2,769,6
23,5,U Mumba,26,3,856,16,12,41,1,19.96,5,12.57,1,32.52,1,89,1,459,5,372,5,274,1,15,3,15,9,289,1,672,12
24,2,Dabang Delhi K.C.,26,4,822,28,6,34,4,20.13,4,9,9,29.12,5,73,7,483,3,401,3,198,7,13,4,19,5,216,8,824,3
25,30,U.P. Yoddha,26,5,812,30,3,26,6,17.96,10,10.6,3,28.56,8,86,2,449,6,357,7,240,3,10,8,27,3,265,3,847,1
22,6,Patna Pirates,26,6,799,30,3,30,5,22.55,2,9.14,8,31.68,3,54,11,496,2,406,2,186,9,11,7,16,7,201,9,835,2
23,4,Bengal Warriors,26,7,725,23,10,23,7,18.96,8,8.7,11,27.65,9,85,3,436,8,340,9,186,9,16,2,16,7,200,10,734,9
22,28,Haryana Steelers,26,8,715,33,1,16,11,20.32,3,8.77,10,29.09,6,45,12,447,7,361,6,180,11,12,6,15,9,193,11,806,4
22,3,Jaipur Pink Panthers,26,9,711,32,2,22,8,18.86,9,10.23,5,29.09,6,75,5,415,10,334,10,202,5,13,4,25,4,225,6,780,5
22,29,Tamil Thalaivas,26,10,671,27,7,20,9,19.05,7,8.59,12,27.63,10,67,10,419,9,344,8,174,12,7,11,15,9,189,12,741,8
22,7,Puneri Paltan,26,11,649,29,5,14,12,15.73,12,9.95,6,25.68,12,71,9,346,12,286,12,189,8,7,11,34,1,219,7,694,11
22,8,Telugu Titans,26,12,647,25,8,18,10,16.05,11,10.59,4,26.63,11,85,3,353,11,289,11,202,5,9,10,33,2,233,4,702,10
16,4,Bengal Warriors,49,1,547,13,11,24,1,19.88,3,9.69,10,29.56,3,46,7,318,2,256,1,145,1,12,1,12,8,155,4,475,4
16,1,Bengaluru Bulls,49,2,544,19,2,17,6,20.13,2,10.25,7,30.37,1,35,10,322,1,256,1,141,3,6,4,25,1,164,1,530,1
14,2,Dabang Delhi K.C.,49,3,496,11,12,22,2,20.71,1,9.07,11,29.78,2,35,10,290,3,242,3,122,12,6,4,7,12,127,12,440,9
15,6,Patna Pirates,49,4,470,17,5,20,3,17.27,5,10.27,6,27.53,5,55,2,259,5,211,4,133,8,9,3,21,3,154,5,484,3
14,28,Haryana Steelers,49,5,464,15,8,19,5,18.57,4,10.57,4,29.14,4,47,6,260,4,203,5,138,6,10,2,10,10,148,7,435,10
15,5,U Mumba,49,6,459,16,6,20,3,16.4,7,9.87,9,26.26,9,55,2,246,7,192,7,135,7,6,4,15,6,148,7,433,11
15,3,Jaipur Pink Panthers,49,7,452,14,9,15,7,15.53,10,10.93,2,26.46,7,57,1,233,8,185,9,142,2,5,7,23,2,164,1,452,7
15,29,Tamil Thalaivas,49,8,432,19,2,10,11,16.87,6,8.8,12,25.66,10,43,9,253,6,203,5,124,11,4,8,10,10,132,11,488,2
14,7,Puneri Paltan,49,9,424,20,1,11,10,16.14,8,11.21,1,27.35,6,50,4,226,9,185,9,141,3,3,11,16,5,157,3,458,5
14,8,Telugu Titans,49,10,403,16,6,7,12,16,9,10.43,5,26.42,8,33,12,224,10,192,7,128,9,4,8,19,4,146,9,453,6
14,31,Gujarat Fortunegiants,49,11,402,14,9,13,9,15.36,11,10.07,8,25.42,11,44,8,215,11,176,11,128,9,4,8,13,7,141,10,396,12
14,30,U.P. Yoddha,49,12,398,18,4,14,8,14.64,12,10.64,3,25.28,12,50,4,205,12,163,12,139,5,1,12,11,9,149,6,447,8
